primary_product_id,primary_name,substitute_product_id,substitute_name,substitution_type,compatibility_score,reason
OFF001,"Escritorio ejecutivo roble 160x80cm",OFF003,"Estantería modular 5 baldas",complementary,85,"Conjunto escritorio + almacenamiento"
OFF002,"Silla ergonómica con respaldo alto",OFF004,"Lámpara LED escritorio regulable",complementary,90,"Kit completo puesto de trabajo"
OFF004,"Lámpara LED escritorio regulable",OFF007,"Organizador de escritorio bambú",complementary,75,"Accesorios de escritorio"
OFF005,"Archivador metálico 4 cajones",OFF006,"Papelera metálica 15L",complementary,70,"Mobiliario oficina metálico"
CAF001,"Máquina café espresso Delonghi",CAF002,"Molinillo café automático Baratza",complementary,95,"Kit barista profesional"
CAF001,"Máquina café espresso Delonghi",CAF003,"Cafetera filtro programable 12 tazas",alternative,60,"Alternativa método preparación"
CAF002,"Molinillo café automático Baratza",CAF005,"Báscula digital café 0.1g precisión",complementary,90,"Precisión en preparación"
CAF004,"Espumador leche manual",CAF007,"Jarra leche acero inoxidable 600ml",complementary,95,"Kit preparación bebidas lácteas"
CAF005,"Báscula digital café 0.1g precisión",CAF006,"Tamper café acero inoxidable 58mm",complementary,85,"Herramientas barista"
COF001,"Café en grano Arábica Colombia 1kg",COF003,"Blend café premium mezcla 80/20 1kg",alternative,80,"Alternativa café premium"
COF002,"Café en grano Robusta Vietnam 1kg",COF004,"Café descafeinado natural 1kg",alternative,50,"Opción sin cafeína"
COF003,"Blend café premium mezcla 80/20 1kg",COF005,"Café orgánico certificado 1kg",alternative,75,"Alternativa orgánica"
COF001,"Café en grano Arábica Colombia 1kg",COF006,"Cápsulas café compatibles Nespresso x50",alternative,40,"Conveniencia vs calidad"
CAF001,"Máquina café espresso Delonghi",COF001,"Café en grano Arábica Colombia 1kg",complementary,100,"Máquina + materia prima"
OFF001,"Escritorio ejecutivo roble 160x80cm",OFF002,"Silla ergonómica con respaldo alto",complementary,100,"Escritorio + silla ejecutiva"
